2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=45 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.096200
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=45 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.001900
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=45 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002000
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=46 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.020800
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=46 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=46 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.009000
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=47 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.030400
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=48 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=47 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.002700
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=49 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.011100
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=47 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.063800
2026-02-01 21:41:50 | IPv4:192.168.68.123 | seq=50 | data=XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX | latencyMs=0.008200
